degree,k,method,ok_pct,f_mean,f_p90,f_p99,t_mean_ms,t_std_ms,t_p50_ms,t_p90_ms,t_p99_ms,source_log
15,20,anchored_fb,85.17,6.201e-12,1.983e-11,8.601e-11,7.55,6.0,5.303,15.743,31.009,eval_k_sweep_deg15.log
15,25,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,3.79,2.965,3.206,4.383,19.35,eval_k_sweep_deg15.log
15,25,anchored,85.13,6.025e-12,1.897e-11,8.573e-11,8.981,6.979,6.23,19.303,35.701,eval_k_sweep_deg15.log
15,25,ann,85.0,6.126e-12,2.017e-11,8.589e-11,8.811,7.063,5.802,19.399,35.53,eval_k_sweep_deg15.log
15,25,lstm,85.03,6.745e-12,2.365e-11,8.705e-11,9.735,6.849,7.404,19.725,35.126,eval_k_sweep_deg15.log
15,25,anchored_fb,85.17,6.042e-12,1.92e-11,8.573e-11,8.986,6.994,6.23,19.31,35.806,eval_k_sweep_deg15.log
15,30,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,3.79,2.965,3.206,4.383,19.35,eval_k_sweep_deg15.log
15,30,anchored,84.94,6.011e-12,1.88e-11,8.569e-11,10.429,7.187,7.549,20.989,37.34,eval_k_sweep_deg15.log
15,30,ann,84.75,6.095e-12,2.009e-11,8.547e-11,10.195,7.18,7.222,20.918,36.621,eval_k_sweep_deg15.log
15,30,lstm,84.79,6.502e-12,2.208e-11,8.667e-11,11.405,7.303,8.695,21.789,38.506,eval_k_sweep_deg15.log
15,30,anchored_fb,85.13,6.115e-12,1.954e-11,8.587e-11,10.44,7.219,7.549,21.005,37.759,eval_k_sweep_deg15.log
20,5,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,3.065,0.869,3.12,3.893,4.907,eval_k_sweep_deg20.log
20,5,anchored,78.88,7.867e-12,2.978e-11,9.167e-11,3.526,2.141,2.862,6.042,8.695,eval_k_sweep_deg20.log
20,5,ann,77.41,7.276e-12,2.599e-11,9.097e-11,3.499,2.18,2.764,5.905,8.276,eval_k_sweep_deg20.log
20,5,lstm,84.63,6.027e-12,1.93e-11,8.627e-11,3.206,1.877,2.643,5.802,8.632,eval_k_sweep_deg20.log
20,5,anchored_fb,85.11,1.054e-11,4.401e-11,9.408e-11,3.732,2.492,2.862,6.934,10.363,eval_k_sweep_deg20.log
20,10,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,3.065,0.869,3.12,3.893,4.907,eval_k_sweep_deg20.log
20,10,anchored,83.96,7.316e-12,2.667e-11,8.986e-11,4.399,2.583,3.558,7.663,14.414,eval_k_sweep_deg20.log
20,10,ann,84.65,7.037e-12,2.479e-11,8.821e-11,4.161,2.44,3.324,7.345,14.05,eval_k_sweep_deg20.log
20,10,lstm,85.12,5.918e-12,1.849e-11,8.586e-11,4.262,2.613,3.371,7.774,14.898,eval_k_sweep_deg20.log
20,10,anchored_fb,85.15,7.841e-12,3.031e-11,9.062e-11,4.438,2.659,3.558,7.776,14.446,eval_k_sweep_deg20.log
20,15,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,3.065,0.869,3.12,3.893,4.907,eval_k_sweep_deg20.log
20,15,anchored,84.25,6.705e-12,2.388e-11,8.705e-11,5.328,2.995,4.384,8.999,14.837,eval_k_sweep_deg20.log
20,15,ann,84.82,6.496e-12,2.106e-11,8.705e-11,4.872,2.812,4.017,8.547,13.821,eval_k_sweep_deg20.log
20,15,lstm,85.12,5.968e-12,1.847e-11,8.655e-11,5.153,3.014,4.058,9.059,14.915,eval_k_sweep_deg20.log
20,15,anchored_fb,85.15,7.102e-12,2.598e-11,8.806e-11,5.357,3.049,4.384,9.12,15.025,eval_k_sweep_deg20.log
20,20,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,3.065,0.869,3.12,3.893,4.907,eval_k_sweep_deg20.log
20,20,anchored,84.32,6.886e-12,2.483e-11,8.705e-11,6.674,3.191,5.321,11.318,15.685,eval_k_sweep_deg20.log
20,20,ann,84.82,6.456e-12,2.101e-11,8.643e-11,6.016,3.109,4.744,10.392,14.726,eval_k_sweep_deg20.log
20,20,lstm,85.12,5.914e-12,1.847e-11,8.584e-11,6.277,3.362,4.543,11.6,15.637,eval_k_sweep_deg20.log
20,20,anchored_fb,85.15,7.259e-12,2.668e-11,8.785e-11,6.701,3.246,5.321,11.417,15.873,eval_k_sweep_deg20.log
20,25,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,3.065,0.869,3.12,3.893,4.907,eval_k_sweep_deg20.log
20,25,anchored,84.71,6.31e-12,2.211e-11,8.6e-11,10.165,5.037,8.868,17.832,23.601,eval_k_sweep_deg20.log
20,25,ann,85.07,5.987e-12,1.897e-11,8.544e-11,8.458,4.236,6.923,14.879,20.146,eval_k_sweep_deg20.log
20,25,lstm,85.14,5.956e-12,1.866e-11,8.535e-11,8.941,4.46,7.195,15.793,21.371,eval_k_sweep_deg20.log
20,25,anchored_fb,85.15,6.519e-12,2.309e-11,8.63e-11,10.179,5.059,8.868,17.892,23.679,eval_k_sweep_deg20.log
20,30,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,3.065,0.869,3.12,3.893,4.907,eval_k_sweep_deg20.log
20,30,anchored,84.39,6.344e-12,2.128e-11,8.579e-11,11.512,4.987,10.281,18.45,26.024,eval_k_sweep_deg20.log
